Player	Team	Age	Role	Overall Risk	Last Injury
Bijan Robinson	ATL	23	Workhorse	Low	N/A
Jahmyr Gibbs	DET	23	Split Committee	Low	N/A
Saquon Barkley	PHI	28	Workhorse	Moderate	2024: Minor ankle sprain
Christian McCaffrey	SF	29	Workhorse	High	2024: PCL tear; Achilles tendinitis
Ashton Jeanty	LV	21	Lead Back	Low	N/A
Derrick Henry	BAL	31	Workhorse	Moderate	2023: Minor hamstring strain
De'Von Achane	MIA	23	Split Committee	Moderate	2024: Shoulder sprain
Jonathan Taylor	IND	26	Workhorse	Low	2023: Ankle surgery
Breece Hall	NYJ	24	Workhorse	Moderate	2023: ACL recovery
Travis Etienne Jr.	JAX	25	Workhorse	Low	2021: Lisfranc injury
Nick Chubb	HOU	29	Lead Back	High	2023: Torn MCL/ACL; 2024: Broken foot
Kenneth Walker III	SEA	24	Lead Back	Moderate	2024: Ankle injury
Rhamondre Stevenson	NE	27	Lead Back	Low	2023: Ankle sprain
Najee Harris	LAC	27	Lead Back	Moderate	2025: Eye injury (fireworks accident)
Tony Pollard	TEN	28	Lead Back	Moderate	2023: Fibula fracture
Aaron Jones	MIN	30	Lead Back	Moderate	2024: Hamstring strain
Javonte Williams	DAL	25	Lead Back	Moderate	2022: ACL tear
Isiah Pacheco	KC	26	Lead Back	Low	2023: Shoulder surgery
James Cook	BUF	25	Lead Back	Low	N/A
Dameon Pierce	HOU	25	Split Committee	Moderate	2023: Ankle sprain
Zack Moss	CIN	27	Lead Back	High	2025: Placed on NFI list
Elijah Mitchell	KC	26	Split Committee	High	2023: Multiple knee injuries
Jonathon Brooks	CAR	23	Lead Back	High	2024: Torn ACL (out for 2025 season)
Kenny McIntosh	SEA	25	Satellite	High	2025: Torn ACL
Joe Mixon	HOU	29	Lead Back	High	2025: Foot injury (NFI list)
Josh Jacobs	GB	27	Lead Back	Moderate	2023: Shoulder injury
Kyren Williams	LAR	24	Lead Back	Moderate	2023: Ankle sprain
Bucky Irving	TB	23	Lead Back	Moderate	2025: Back/hip injury
Chase Brown	CIN	24	Lead Back	Low	N/A
James Conner	ARI	30	Lead Back	Moderate	2023: Knee injury
Chuba Hubbard	CAR	25	Lead Back	Low	2023: Ankle sprain
Alvin Kamara	NO	30	Lead Back	Moderate	2024: Hip/rib injuries
Omarion Hampton	LAC	22	Lead Back	Low	N/A
David Montgomery	DET	28	Split Committee	Moderate	2023: Thigh bruise
D'Andre Swift	CHI	26	Lead Back	Moderate	2023: Shoulder injury
Kaleb Johnson	PIT	24	Lead Back	Low	N/A
TreVeyon Henderson	NE	23	Lead Back	Moderate	2023: Foot injury
Brian Robinson Jr.	WAS	26	Lead Back	Low	2023: Quad strain
RJ Harvey	DEN	24	Lead Back	Low	N/A
Tank Bigsby	JAX	24	Lead Back	Low	N/A
Rachaad White	TB	25	Lead Back	Low	N/A
Tyler Allgeier	ATL	25	Split Committee	Low	N/A
Trey Benson	ARI	23	Lead Back	Low	N/A
Isaac Guerendo	SF	24	Satellite	Low	N/A
Ray Davis	BUF	23	Satellite	Low	N/A
Bhayshul Tuten	JAX	24	Satellite	Low	N/A
Jerome Ford	CLE	25	Lead Back	Moderate	2023: Hamstring strain
Roschon Johnson	CHI	24	Lead Back	Low	N/A
Jaylen Wright	MIA	22	Satellite	Low	N/A
Dylan Sampson	CLE	23	Satellite	Low	N/A
Rico Dowdle	CAR	25	Satellite	Low	N/A
Jaydon Blue	DAL	22	Satellite	Low	N/A
Braelon Allen	NYJ	22	Satellite	Low	N/A
Alexander Mattison	MIA	27	Lead Back	Moderate	2024: Ankle injury
J.K. Dobbins	DEN	26	Lead Back	High	2024: MCL sprain
Jordan Mason	MIN	26	Lead Back	Moderate	2024: High ankle sprain
Jaylen Warren	PIT	26	Lead Back	Low	N/A
Tyrone Tracy	NYG	24	Satellite	Low	N/A
Quinshon Judkins	CLE	22	Satellite	Low	N/A
Cam Skattebo	NYG	23	Satellite	Low	N/A
Michael Carter	ARI	26	Satellite	Low	2023: Ankle sprain
Evan Hull	PIT	25	Satellite	Low	2023: Knee injury
A.J. Dillon	PHI	27	Goal Line / Grinder	Moderate	2024: Neck injury
Ty Chandler	MIN	26	Satellite	Low	N/A
Keaton Mitchell	BAL	24	Satellite	Moderate	2023: ACL tear
Pierre Strong Jr.	CLE	26	Satellite	Low	N/A
Zamir White	LV	25	Lead Back	Moderate	2024: Shoulder injury
Kendre Miller	NO	24	Satellite	Moderate	2023: Knee sprain
Sean Tucker	TB	24	Satellite	Low	N/A
Tyjae Spears	TEN	24	Satellite	Moderate	2023: Knee injury
Deuce Vaughn	DAL	24	Satellite	Low	N/A
Chris Rodriguez Jr.	WAS	25	Goal Line / Grinder	Low	N/A
Trey Sermon	IND	26	Goal Line / Grinder	Moderate	2023: Ankle sprain
Zonovan Knight	DET	25	Satellite	Moderate	2023: Shoulder injury
Eric Gray	NYG	24	Satellite	Low	N/A
